category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 17 ireland,,,,149835.5475,141103.92,131672.415,129075.0425,128619.75,193317.315,243054.7225,203598.54,147421.0775,136396.605
Education Building,city of dublin education & training board Dublin 3 ireland,,,,144509.9975,135234.265,122175.0025,116900.0,119012.5,117327.875,117927.03,125545.9975,103397.8375,98708.115
Education Building,city of dublin education & training board Dublin 3 ireland,,,,144509.9975,135234.265,122175.0025,116900.0,119012.5,117327.875,117927.03,125545.9975,103397.8375,98708.115
Education Building,city of dublin education & training board Dublin 4 ireland,,,,90269.03,86549.88428571427,89165.09142857142,81406.49428571427,87986.42857142857,52546.732,51279.422,72586.464,77916.746,98133.992
Education Building,city of dublin education & training board Dublin 4 ireland,,,,90269.03,86549.88428571427,89165.09142857142,81406.49428571427,87986.42857142857,52546.732,51279.422,72586.464,77916.746,98133.992
Education Building,city of dublin education & training board Dublin 4 ireland,,,,90269.03,86549.88428571427,89165.09142857142,81406.49428571427,87986.42857142857,52546.732,51279.422,72586.464,77916.746,98133.992
Education Building,city of dublin education & training board Dublin 4 ireland,,,,90269.03,86549.88428571427,89165.09142857142,81406.49428571427,87986.42857142857,52546.732,51279.422,72586.464,77916.746,98133.992
Office Building,city of dublin education & training board Dublin 4 ireland,,,,90269.03,86549.88428571427,89165.09142857142,81406.49428571427,87986.42857142857,52546.732,51279.422,72586.464,77916.746,98133.992
