category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Healthcare Building,cheeverstown house Dublin 6W ireland,"Cheeverstown House, Templeogue, Dublin, Co. Dublin, Ireland",53.2952729,-6.3141389,133157.44,126136.6,121274.81285714284,117822.95571428572,118406.71428571428,181676.63066666664,196427.156,203441.41,185016.1346666667,181653.78
Healthcare Building,cheeverstown house Dublin 6W ireland,"Cheeverstown House, Templeogue, Dublin, Co. Dublin, Ireland",53.2952729,-6.3141389,133157.44,126136.6,121274.81285714284,117822.95571428572,118406.71428571428,181676.63066666664,196427.156,203441.41,185016.1346666667,181653.78
Healthcare Building,cheeverstown house Dublin 6W ireland,"Cheeverstown House, Templeogue, Dublin, Co. Dublin, Ireland",53.2952729,-6.3141389,133157.44,126136.6,121274.81285714284,117822.95571428572,118406.71428571428,181676.63066666664,196427.156,203441.41,185016.1346666667,181653.78
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Co. Dublin ireland,,,,24484.81,24706.2,28451.198,13416.8,7440.8,260468.285,240217.485,220787.05,168675.035,41855.055
Healthcare Building,cheshire ireland Dublin 20 ireland,"Upper Glen Rd, Phoenix Park, Dublin 20, Ireland",53.3521405,-6.3388735,111148.0,117624.02,125536.99,119445.98,109593.0,,,,,
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
